"wA1Bge src","FmcO7b","vWB2ve","T7nuU 2","WHxBId","gjvCCd"
"https://lh3.googleusercontent.com/a-/ALV-UjXaV3lOLyf7CBJmY_O_Ax2x2bPbmJZJYCk1qvCmXmD1Xtm6p0Rk=s128-w32-d-h32-cc-rp","Praveen Kumaran R","3 years ago","Let me tell you guys a story..
I was in 2nd grade when I watched this movie..My father had bought what we call a ""thiruttu vCD"" and watched it on our  12"" computer, Being from Tamil Nadu I couldn't understand anything or read the subtitles.. But tell that the characters spoke without language is in understatement.
I understood what that boy felt even at a younger age (Director's creativity) and I still remember crying at the end.
Now, after *15 YEARS* I watched it again. Bro.. I was literally sobbing.
i could feel myself in Ishan's place. I related to everything that guy went through.The director's vision was way beyond the time at which he created this masterpiece. at the end i was out of tissues. Beautiful movie. Must watch.","You and 2 other people found this helpful.","2 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjX3Az9p__dpF2190tm37pEDs4EBW1blQFJr3UlRGHjdZkqNhLBB=s128-w32-d-h32-cc-rp","Anni Mary","a year ago","Always a good movie to watch. I remember this movie was released when I was studying in 4th grade and it had a crazy hype between students. Every child needs these kind of care. Maybe a teacher may not realize, a little bit of care and encouragement can change a child's life upside down and I'm one among them whose life was changed by a teacher care and encouragement. Though parents might give their all, a teacher's support at school can elevate a child to a new level of brilliance.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjWLeZi1lIfORccWA82fzJkPtCflhlu_eSbBfoU6afKkrqoqwGk=s128-w32-d-h32-cc-rp","Palak Sharma","5 months ago","This movie is like a part of my life, when I was in 8th standard, and my class teacher Shweta Vizra mam who was an English teacher helped me for making me a rising star, but she used strictness, such as she slaps on my cheeks when I do any mistake in grammar and writting. She said to use calligraphy, I was in 8th, but I use calligraphy to make my handwriting good. She make every child in class better and confident. She was a teacher...not for salary, for a being a good teacher, so that everyone one remind her. And till now I have not forgot her.♥️","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a/ACg8ocKIx7Shnix1jZIFUYAb_OSd4gPZIralNzINJRKMydzW9Ekp4paL=s128-w32-d-h32-cc-rp","Sarah Faith","4 years ago","The writers of this film either experienced all these emotions on both the parents’ perspective and the child’s perspective or they seriously delved into the lives of those who have children with special needs!  Especially it is difficult to understand, when a child looks visually like any other child, the child’s behavior. 
For awhile after birth the child is thought of as a behavior problem, and disciplined as such. Dad is often angry and harsh. Mom feels protective of her child, knows her child is not bad but misunderstood. She is frustrated and depressed, but loving too. 
The child is angry, depressed, confused and feels isolated. As such, the child acts out in socially unacceptable ways and has low achievement scores. 
My husband’s and my reactions and emotions were the same as in this movie with our “perfect looking” firstborn who had special needs. 
Our child’s responses were exactly the same as the child in this story. 
This movie is an unforgettable, unique masterpiece. 
Also it shines light on this problem and brings awareness to society. 
This is a “must watch” film.","You and 7 other people found this helpful.","7 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocIOKrJ-Wda2OFTzmBk-urloG3ZnxGFoP1LjdVGclNEColIRKA=s128-w32-d-h32-cc-rp","Ved Jaiswal","6 years ago","Every child should be treated equally god has given equal talent to everyone no one is less than anyone a poor and slow learner child can also do the best and be a topper. I have watched this film many times. I never get bored by watching this movie this film is inspirational, motivational, emotional but one thing is three it's too much appreciative
One can see many changes in himself by watching this movie.
So everyone must watch it.
Thank you

Is it helpful","You and 14 other people found this helpful.","14 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjWbHyRhQQKWhER-Rr7NuqpvWwG8D2iz3MT5SeeI6DDMvC_2g3qd=s128-w32-d-h32-cc-rp","SAGAR MARIKANTI","a year ago","I have Great experience after watching this movie 
Emotional & Courageous,lots of fun
I have seen my self in Ishaan
People thought Movies are only for entertainment but it also enlighten us and emphasize 

Directors should make lot more movies like this and those will really make us  thought provoking 

Finally the boy ishaan acted sorry lived in his role perfectly 
I have missed this masterpiece in my childhood 
I felt happy now because I just moved to my childhood while watching this movie..
Finally Happy Emotions 😁 
#TaareJameenPar","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjVmY7ickJOVQgVyFjCHkK3LEehrNNa8W-pskufiq-vFZ6_lzwqU=s128-w32-d-h32-cc-rp","Ulises Navarrete-Cansino","a year ago","This movie is substantially a great way of showing people that everyone has potential. When I watched this film in school, I wasn't interested into the plot nor the message, but as I payed more and more attention to the character backgrounds, it showed me how special everyone is and how everybody has a purpose. I highly recommend this film to anyone looking for an inspirational story on growth and a good heart warming story.","You and 13 other people found this helpful.","13 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjUk72GVaHtF-LMF6yUiM9bTZEoDRDOOi5hA4I5rK9jeW8dtt-IB=s128-w32-d-h32-cc-rp","Abhishek Meena","a year ago","What a Movie.
One to the most beautiful movies I have seen in my life till now.
Its a shock that it didn't win a Single Big Award(Like Oscar level Recognition).
It should have won atleast one.
The boy Did Amazing work.
Hatts Off to Aamir Khan for doing this Project n Producing it.
No Doubt Aamir Khan is much more than an Actor. #Respect
I just Loved this.
Thank You for making this one.❤️","You and 2 other people found this helpful.","2 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocLmLqXCM3S11yI9y2X3_N4klK0XWbmLf1Q6nznRNE1tbNUHqA=s128-w32-d-h32-cc-rp","Kaushik Majumder","a year ago","This is not a movie. It is, was and always remain as a conscience to us, specifically 'us', 'parents'. We make so many impulsive commitments while witnessing this live portray of life .. but very easily forget those, and start pushing our angels into the rat race. I guess, we parents, should make it a habit to watch this epic masterpiece at every periodic interval and correct our deviation from being a real parent. a place that our child will find all solace and comfort. Regards.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjVA1U5CRcPYnWI31YA2LYoX5H1rCxAeU2vLNMpgV74Dvy3fS3E=s128-w32-d-h32-cc-rp","masud alam","4 months ago","It is a really motivating and a thought provoking movie. I had seen it a million times, but it is always like a new movie to me and I just can't STOP CRYING at the climax. Aamir Khan makes really simple but heart touching movies and he is a great person himself. This is a constant reminder to all parents that their child is special, and THIS WORLD should stop doing like ""Why can't you be more like your elder brother? He is so good in academics"". That child whom you are speaking so harshly to- that child also has a special talent whom no body has. And this movie teaches this to those stupid parents. 

And for children, it is a motivating saying that even if they are disabled, they have a special talent. 

Thank You. 
Must watch.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a/ACg8ocJox8YmIb2xj4k2qJ4z7ci-kM_aPPlPfhrotPJcv1_EaOGBNsU=s128-w32-d-h32-cc-rp","F A","6 years ago","This is one of the best movies i,ve ever watched. A really touching yet educational story. I got to learn about dyslexia and would wish the whole world would watch this and understand. The whole movie was well directed, amazing acting and most of all a really beautiful story. I cried here and there and even the even the happy ending got me shedding tears of joy. I,d highly recommend this movie to everyone.","You and 14 other people found this helpful.","14 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjUfBkfgtHP1Fg63m1OvIpduJAfMJqdZeJq_Lua6GCm_avnW_sVp=s128-w32-d-h32-cc-rp","Maria Flora Ariba","4 years ago","Taare Zameen Par - I couldn't stop crying at some moments. The movie is very inspiring The message is very clearly conveyed and the story is so touching. It talks well about the competition every child is stuck in. This may be an eye opener for a lot of people and to understand their child is the priority. Show love,care hugsand kisses to your child.","You and 1 other person found this helpful.","1 person found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjVkdeM3-bDVcH2rDsSjKPGHksaqMWTTYIQRyWc1aeoowSvB3xI=s128-w32-d-h32-cc-rp","Arise Park","a year ago","I got my childhood memories really fantastic when I was 8 or 9 years old this was my favourite film I don't know how to describe.  Just amazing nowdays childrens are seeing fighting/action movies or romantic but this is best for kids to motivate their self yes I know I am also a kid but in childhood memories are just heart touching ☺ that child and Amir khan really good job 
😊that's why I'll give it 5⭐ to it .","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjXm4IuLLHAciO82QbwpPvVO8bkI0PaTci1haAVTyqWUeivg1rWa=s128-w32-d-h32-cc-rp","Ruwaan Arora","7 months ago","Ishaan, an imaginative 8-year-old, struggles in school due to dyslexia. His parents send him to boarding school, where he feels lost and alone. But everything changes when a new art teacher, Ram, recognizes Ishaan's unique talents and helps him overcome his learning difficulties. With Ram's support, Ishaan blossoms and discovers his true potential. ""Taare Zameen Par"" is an amazing film about how every child is special, with brilliant acting.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjV1WC8eVmxFJYY2nmUYELrxwf0-g3WhJRf4e30y-fom4mWYjcwG=s128-w32-d-h32-cc-rp","Judith Tembo","3 years ago","This is one of the best dramas of all time honestly. It potrays the sad truth of how most children with dyslexia are misunderstood and aren't given proper diagnosis.
I've seen this movie multiple times and it still touches my heart every single time.
It is beautiful portrayed and the acting was phenomenal.","You and 1 other person found this helpful.","1 person found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjXjkhZepN0a9m36GGIErynru9kLwms6H6cprHFjYbfU5dZdzA=s128-w32-d-h32-cc-rp","Carlow Balucos","a year ago","This movie made me realized that a child that has a disorder must be threaten very well by means of giving them an attention and guidance. They all deserves to be respected and of course they needs a person that could help them build or fight against their impairments. 
 This movie is very nice because it reflects me of the things that I've done; it's so werd. But as a human being we all have different characteristics that needs to be shown to others.😂😘","You and 8 other people found this helpful.","8 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocLIzmcjH-AzgHmYbEFhUomxgBGcijI3LOMMJ0bLKpenn-7nww=s128-w32-d-h32-cc-rp","Tarkeshwari Mane","7 years ago","Who else will relate better than me, who is having son having concern of dyslexia. Just like the boy in the movie, my child having difficulty in studies, but we couldn't find the reasons behind it. We used to bit him so hard. Now I feel ashamed of it. Thankfully before the movie comes we could found the reason. But the scars are still there in his heart. But he is such a lovely and sorted guy of his age. Love you my child so much.","You and 15 other people found this helpful.","15 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjUEL9E2NNGAVRFJujrnG0oHq93R5COGyFXgl3F83jXrP9vR28k8GA=s128-w32-d-h32-cc-rp","Vishnu Sarda","5 months ago","This is peak of meaningful Bollywood movies that can create a positive impact on overall Indian society. Watched almost 5+ times in last 17 years and every time there is new in the movie to learn and now millennials are in the parenting age so millennials should watch it again to understand kids perspective & behaviour. Hats off to Amir Khan and staff for outstanding work.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a/ACg8ocI5EQG9OnRqxPSL41E54IL8jLseOCTk5sbcvxJuuZuY8mKIyQ=s128-w32-d-h32-cc-rp","Usha R","2 years ago","This movie itself is like a painting similar to the paintings shown in the movie. Even today my whole family watch this movie often. I myself personally watch it whenever I feel low. This movie gives me a ray of hope and strength. Such roles can only be portrayed by Amir Khan, the Legend. The movie feels fresh as the years pass. Missing these kind of movies nowadays.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjX_ksiWUcuNkFHthuHpwrpDXncw02Pom_owTTrQhSCjbmA-qNYkag=s128-w32-d-h32-cc-rp","Winter Taber","5 years ago","Such a good movie! I highly recommend this movie if you have a child with a suspected or diagnosed dyslexia, reading or spelling disability. This would also be great for any teacher to see. My son has dyslexia and this just hit home in so many ways. So heartbreaking but such a wonderful true story.","You and 4 other people found this helpful.","4 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocJfvO_v7GsyzFfEOC-qOUpOQxKzjlCJMTcs6q8IGlrRv_sg4g=s128-w32-d-h32-cc-rp","Aala Firdouz","2 years ago","A must watch for families.The regular family pressure and discipline which parents impose on children from a very young age,but never wonder or are even bothered to know the internal feelings of a child and his or her opinion,which can be very dangerous in the long run.The entire blame and fault is found within the child,but nobody is able to understand and identify his difficulties and struggles. A teacher enters the child's life and completely changes him and his nature at the whole. The teachers also identifies his psychological illness, a beautiful movie with a unique moral and life lesson.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a/ACg8ocIOQGFz4vhqDDFrPzb5mLoea5W6Rqz8v5Wpf06p9B9g7o-hkg=s128-w32-d-h32-cc-rp","Sujoy Mukerji","7 years ago","Saw this again after many years! I was surfing channels when I got a glimpse of this, and then watched it to the end. It still left a lump in my throat and tears in my eyes. Such a wonderful film, so well acted and directed. The little boy was just superb. Thank you Amir, such films are very necessary for our young parents today.","You and 9 other people found this helpful.","9 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocJWyqLv4uGZnZQOD1z6haZk-YUqz-Xz-RwTORxkW116BSsANw=s128-w32-d-h32-cc-rp","Abinaaah!","a year ago","Literally, iam not interested in writing about any film even it is really good. But after watching this movie my heart fell for it. When i first saw this movie, i watched this again again and again on the same week repeatedly. I recommended this movie to my mom even she is not able to understand hindi language. After watching this movie my mother also felt happy.... I watched her anxiety on each and every scene.I think once we fell for this we can't escape from this..... Really happy for this movie❤️.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a/ACg8ocIPw7cHmQKpBfPAvTzxPWqk1NzCqJOxVBJC3kS4UyFQTC_kgA=s128-w32-d-h32-cc-rp","Suyash Prakash","7 years ago","This movie is very touchy. Amir Khan is no less than a God for that child. We all crave for such teachers in our life but sadly we get very few because they are so rare. Work of teacher is to bring out the best in a student, recognize what he do not know about himself and make him believe in himself. We talk a lot about failure of students and criticize them but cannot see elders failing as teachers. Exceptional movie.","You and 17 other people found this helpful.","17 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocKjG3eCzoDWN0GnL_6qmiKZi1WR6YJX-ASBwQxaDlmMmK9RdQ=s128-w32-d-h32-cc-rp","Amruta Shelke","2 years ago","Yahh this film is good for a students...
This movie send a massage for every children's who present our talent with in whole world...
Every people/children's have a personal talent...
Parents priority is search talent in his child and support to him to improve his Skills and talent in his field...
Ishan is good Painter he is not interested in study...He is Mentally unstable for his parents not support him in he interested...
So plz see this movie to understand your children's and support them...🤗💕","You and 1 other person found this helpful.","1 person found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjWIsScTVZPcrKQJzPCMgw6tGltSc4Ag2KMYR1c5VDxcm5n-2QkC=s128-w32-d-h32-cc-rp","Linus Onyekachi Nneji","6 years ago","This movie is such a masterpiece, it really taught that every child is special and unique in their own way. It encourages parents to discover and promote their children's talent and be proud of them.
I actually got emotional at almost every scene of this movie.
a movie i don't get tired to watch.
Great work.","You and 7 other people found this helpful.","7 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocLgKwBHl92BibifnWgaYx37eoAwyD2ZXhqIpeJq2E4nlHPwlBg=s128-w32-d-h32-cc-rp","Swastika","a year ago","This is the best movie to encourage and inspire children who are still facing the problem of dyslexia in their lives. I appriciate this movie as it showed an inspiring, imotional and a lovely heart for helping others (which was inacted by Amir Khan as the Art teacher of the student Ishaan Awasthi which was inacted by Darsheel Safari) in the story and also gave a moral message to us that God has made everyone unique and each and everyone of us has the abilities,skills and talents to shine on this beautiful Earth. ""We all are stars on Earth"".","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjXn6bJ_kNgn8PQDGxzmGlX8ALkKr8cxwTERu99r_RbnRhvD6bn0=s128-w32-d-h32-cc-rp","Ericho Mendoza","3 weeks ago","Really touched me! What an amazing movie! Very detailed and an eye opener for everybody, especially to parents who don’t know sometimes their kids go through problems like this. Really really love this movie! Actors/actress really portrayed the roles super good. I’ve got a bucket of tears next to me. 🙌🏻","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjUgLrjWO-ibtIY_qlerLio-e2_9u4NAiFmQibCQbrUyuAm0Mv66=s128-w32-d-h32-cc-rp","Swar Shah","5 years ago","It is a great movie about all students of all age groups you should watch this movie it is very great movie .We should not make our children topper .we should encourage them.
After watching this movie,We should now stop calling students a loser or something else .Every child has it's own capability to write and understand things we told them.
We should know that student want to do something else in life rather than parents choices.We can told them to study because education is important but still don't told then to get 90% or something but to become something else in your life .Please don't discourage them","You and 1 other person found this helpful.","1 person found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocLbDtzZh7OLXTYWgUGo3xP8GlGreFyvpsPV-wi0ParXYAlS87d-=s128-w32-d-h32-cc-rp","Aarush Ak","3 years ago","I was watching #TaareZameenPar again & even after 15 years this movie hits you the same. Majority of the classic films come from Hollywood but here I am proud to say it’s an INDIAN FILM. #AamirKhan what a gem you are a true superstar. Take a bow 🙇‍♂️ thnks for doing such films.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjUQt2Q9LhwgrmmpK9ytLcht1LfFQB92lae9d21CmizPuuS5_40=s128-w32-d-h32-cc-rp","lusy Lusy.qw1","a year ago","*""Taare Zameen Par""* is a heartwarming and inspiring film that beautifully portrays the struggles of a child with dyslexia. Aamir Khan's direction and performance, along with Darsheel Safary's brilliant portrayal of Ishaan, make the movie a touching exploration of childhood, creativity, and the importance of understanding children's unique talents. The film highlights the power of empathy and education, leaving viewers deeply moved and inspired. Its message about embracing individuality and nurturing potential resonates long after the credits roll.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjUGG-JvV8j2ND504WJPhL9tyAdF-dydkHBpCH-lTG4beWDJ0jc=s128-w32-d-h32-cc-rp","ANIK BISWAS","a year ago","Has to be one of the best films in bollywood ever. If you didn't cry in the film at any point or didn't  even cry at the ""Meri Maa"" song, I don't know dude you need a checkup. 

This film actually targets parents who fe their children can do what they want not knowing that they might be special in their own way and have their own special talent which may not impress their parents. It also tends to take a dig at parents who support the fact that sending their kids to Boarding school is the best way to groom them. 

SLR duo have composed a music album for decades to remember for kids and adults as well.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjXA-7aVrVpK-d5NxXIZVvM-vuJ4f35rf60ms9Gy24fxkJal4yOikw=s128-w32-d-h32-cc-rp","Sanjana D K","a year ago","Very meaningful movie. Understanding why the child is facing problem in his academics and realizing what he is going through. The kid was good at drawing, he loved animals, colors. But unable to read th e letters. His teacher identified his disease and helped him out to excel in his academic as well","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjXLmxP-leSeUlb5mrPpcy_Zp7CJWeuRyx9udxv7z19LiC0QFbXZ=s128-w32-d-h32-cc-rp","PratipDey7A14","a year ago","This movie is a sheer masterpiece! I loved the cast... Tisca Chopra and Amir Khan played their respected roles very naturally... And the boy who played the role of Ishaan... I was shocked to see such a young boy carry out such a challenging role so naturally and professionally! Apart from that the relation between the teacher and student was so natural... This also depects real hostel life... Beautiful!!!
5/5","You and 1 other person found this helpful.","1 person found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjX8o0axF7BZd-lf7XEQ7szrREQQgWIr2dwlbRVdKv1LIBujfLah=s128-w32-d-h32-cc-rp","alicia avalos","4 years ago","Beautiful movie, every child learns in different way we can`t generalize the learning anymore. Each child deserves their own learning way. Parents got their children's expectations and it`s fine, however each child has different skills. I really loved this movie and made me ponder about  the anxious that many children experience with the academic pressure.","You and 4 other people found this helpful.","4 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjUdf5ZMM7SIToEmbTGg1572ib8iFxQeAR3pcazF8Hkxbi0vO-VnbQ=s128-w32-d-h32-cc-rp","Prashant Shekhar","a year ago","This movie was well ahead of its time. It is a piece of great art. This movie changed the way we see a child. TZP gave a whole new approach to handle the children. Things which look easy for us can be a damn big complex things for children. We need to step down to their level to understand their problem, we have to see from their perspective. I am sure many parents have benefitted themselves from this movie and the greatest benefiters are the children who can be understood now by their parents.","You and 9 other people found this helpful.","9 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjWRLPaGbC2FEkphRDvXiNv2TeESXsANtb8j9bsGNAAe330qSkj4DA=s128-w32-d-h32-cc-rp","Ayan Malik","6 years ago","2007 - I was in school class 8th - Movie released - I watched it - Learnt many things+enjoyed+cried+not able to understand still many things.

2019 - I am adult - Watched it again - Still have the same feeling of 12years ago - Still that same emotion - Now learnt those things - Cried on ending.

Best film. Awesome. Excellent.","You and 7 other people found this helpful.","7 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocKHGz4OgaTr98q3a2Ubf7xNUQjy0mbFSMfTxzJGmDA1GSuSBg=s128-w32-d-h32-cc-rp","Mousumi Chakrabarti","6 years ago","Amazing and emotion movie. Really they have given true message that world is comparative . Now a days students suffer from mental depression main cause is education pressure.  People think in society that if we don't become doctor engineer or pilot nobody is going to give us respect. Our Indians mentality is very bad. Infact now a days schools teachers humiliate a lot specially of weak students they never deiscuss them about there problems. They will use humiliating words to those weak students like useless huamn being cowdung . And classmates will make fun of him .  So it's better to study  at home only. Iast scene was very emotional when he was crying  that chid name is darshal safari his character name was Ishan Avasthi. These is known as hardwork willpower dedication. Really education system in India is bad. I don't that why school authority give jobs like these kinds of ill-mannered teacher's that don't have humanity self respect on other's dosnt have feelings. They should be thrown out from schools. I really hate these kinds of Teachers. I don't respect them.","You and 52 other people found this helpful.","52 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjVwoohtItfWvxvvf1B622DORaSqYaIwqco6YvvTQzoeQ2_h65sE=s128-w32-d-h32-cc-rp","Sabyasachi Mukhopadhyay","5 years ago","Taare Zameen Par is one of the greatest Indian movies ever where 'Every Child is Special' is the main essence of the movie. Hats off to the efforts of Director, Producer & Actor Aamir Khan and Writer, Creative Director Amole Gupte to bring such an elegant concept on silver screen. Kudos to entire casts and crews for bringing laurels to this movie.","You and 2 other people found this helpful.","2 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjV2T8lEM7omwk07wJLCQnygLmKNNXK-Q3kP_j8vFdI0Dr1lqBzM=s128-w32-d-h32-cc-rp","Mangesh Vaitla","5 years ago","Superb movie. Very relevant topic for the rat race that student are getting pushed into..a true classic. 
Have watched it innumerable times and enjoyed it more every time. All elements of movie are in perfect balance. Story, screen play, direction, acting, dialogue, songs, music.","You and 1 other person found this helpful.","1 person found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjUbFW5deu_3rlkKMEkJ0IJmXs0qcuyPj4QW6a09eAz4IdT1RKA=s128-w32-d-h32-cc-rp","Chhavi Babbar","a year ago","I want to give 5 stars to this movie. Every child is creative and different from others. Not all but some parents expect a lot from their children, children are god-gifted. Every child has his/her own capacity and thinking to see the world. We should not compare with their siblings. Amir Khan and his co-star Darsheel's acting was awesome.....
Thankuu","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjUz6IuKZiqyc1GtA6TXssNmGQNlDCx7pTEpy09EZUcIgv7EXW1K=s128-w32-d-h32-cc-rp","Rojalin Sahoo","a year ago","This film is the best film for education.  This film teach us if a child can't read and write don't angry on him help him to read and write. In this film the student can't read and write. When his father and mother leave to boarding school the teacher of the boarding school help him to read and write when the student know how to read and write then the student was going back to his original school but before going to original school he good bye his teacher. In this film Aamir Khan was teacher and darsheel salary a slow learner, I like this film this is the best film than all film.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a/ACg8ocISX-oRb5yrk1_5-BGPZN9UQ2_XlEyVnOho-Hg378ZpxPTtgw=s128-w32-d-h32-cc-rp","Feeba Merin Babu","4 years ago","Touching one... It portraits the issue faced in our society. In many families there are children who is facing different problems which is like mentioned in the film, and parents are unaware of it. The movie is a great message for the society and an eye opener. It also shows the in-depth relationship between a mother and her kids, teacher and a student and relationship between siblings. It also talks about how family relationship is important and how can a family be a backnone for th.e kids","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjVJdNhXE2HsW5VxOaPBFywFk1OBG6mLUYyM07aYrYzbs7dXX-khHQ=s128-w32-d-h32-cc-rp","Haswanth SK","4 years ago","Taare Zameen Par - Every child is special .A movie to watch in a lifetime .Well directed, Emotional . You feel every second of it .A movie that has life. It delivers the message perfectly and which is needed for every children and parents too.
Loved it","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjVlntW--fjGLSgzk6pdzpMc2tP1TicndFykPSt1NEUrMFNQGlR9=s128-w32-d-h32-cc-rp","Ben-Nathaniel Fosu","5 years ago","This is by far one of the nicest inspirational Hindi movies I have ever watched. Great advocate for students with special needs which is neglected lots of times in many states, kudos to the directors and characters. Protagonist did amazing the kids deserves a Grammy or something","You and 2 other people found this helpful.","2 people found this helpful."
"https://lh3.googleusercontent.com/a/ACg8ocIVHo2U0LQGuSHYEXk3oYHEJgllytE0sOS7CQJxa00kk-5Odg=s128-w32-d-h32-cc-rp","Syed Humera","5 years ago","Every child is special... Treat them in friendly way..... As usual Aamir Khan sir acting was excellent... I hope this movie give us a lot of will power how to treat children improve on their own way.... Especially the last scene of the movie make me emotional... One of the best film.. must watch.... ❤️","You and 3 other people found this helpful.","3 people found this helpful."
"https://lh3.googleusercontent.com/a-/ALV-UjVocJWIVhHtjVu_ZL5V0Lsjc1jD_1YMPmThvfIHnveCy3JK2K8H=s128-w32-d-h32-cc-rp","Chandu s n","a year ago","Nikumbh finally discovered Dyslexia in a slowmover different academically poor student of 8/ 9 yrs. Now a days even the time already has come 2 us for doing the right way .That's responsibily of each parent student teacher is must. Tzp 4 all age groups. Nice msg 2 our social life .
Punishment  is very bad for students inner mind .","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjWJN-Epkt0_Sc70crx_kSBDSfuwX-SNvfxw8wxa7VCAHB9F6ao=s128-w32-d-h32-cc-rp","Niranjan Ratnaparkhi","9 months ago","The best teachings for my child i gotfrom this amazing movie this can i think improve your child and can also send him on a good track the strict parents who are not able to understand their children's intention + dreams should really..! Really..! Watch this as a father as well as a parent i would rate this movie 5 ⭐⭐⭐⭐⭐
Really very nice and motivational + helpful
💐💐💐","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjXDYKD-FioDDidX065HMOhss49z8l0MBj7O2Ae4__AihERYIP8f=s128-w32-d-h32-cc-rp","Asmita Patra","3 months ago","Memorable and heartwarming. 
Such an enjoyable movie. Failed to control my tears. Feel so relatable while watching. Hope indian parents will change their mindset after watching this. Excellent performance by Darsheel Safari. I can say one of the best movies I have ever seen. I literally cried at every moment. Best wishes for Aamir khan sir.","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a/ACg8ocImnswBnRDWxLEnglobyBCcueZQ6uPVYZF4R0QxU4nWXLwE6w=s128-w32-d-h32-cc-rp","Mahadeb Das","6 months ago","Taare Zameen Par is a heartwarming story about a young boy's journey to overcome this struggle with dyslexia and found his place in the world the film highlights to importance of understanding and supporting children with learning disabilities and encourage parents and teacher to be more supportive I have enjoyed this movie very much its beautiful and inspiring story that touches my heart I recommend everyone should watch this film to understand and appreciate the struggles and strengths for of children with learning disabilities my rating for this movie is 5 out of 5 stars","You found this helpful.","Was this review helpful to you?"
"https://lh3.googleusercontent.com/a-/ALV-UjVwA8s3M-XUWByGF1CC5KEMW9Cad84v9SPCLuYvhnHgmZjU4Mhh=s128-w32-d-h32-cc-rp","Anushna Bhattacharya","4 years ago","Taare Zameen Par is a very emotional film. Motivating, kid-friendly and inspiring film. Every child is special. Focussing on students' creativity is very important. Creativity makes student life more successful. Peer pressure, including academic pressure, should be avoided. Special people are much more trusting and honest. Say no to partiality. In this hope, let the student life be colourful, happy and healthy. Students, parents, guardians and teachers must watch this film.","You and 2 other people found this helpful.","2 people found this helpful."
